City,District,Price,Brand,Series,Model,Year,Fuel,Tranmission,Km,Chasis,Power,Engine,Drive,Color,From
Balıkesir,Edremit,70000,Peugeot,607,2.7 HDi Ivoire,2007,Dizel,Otomatik,150000,Sedan,201,2501,Forward,Lacivert,Owner
Ankara,Çankaya,92000,BMW,3 Serisi,320d Standart,2011,Dizel,Otomatik,106000,Sedan,176,1801,Back,Füme,Owner
Ankara,Altındağ,22500,Tofaş,Murat,124,1976,Benzin,Manuel,1453,Sedan,65,1239,Back,Mavi,Dealer
İzmir,Çiğli,19499,Rover,220,Turbo,1995,Benzin,Manuel,165000,Coupe,251,1801,Forward,Füme,Owner
Ankara,Çankaya,55000,Mercedes - Benz,S,S 500 500 L,1996,Benzin,Otomatik,265000,Sedan,301,4501,Back,Gümüş Gri,Dealer
Malatya,Yeşilyurt,175000,Mercedes - Benz,E,E 250 CGI Premium,2011,Benzin,Yarı Otomatik,110000,Sedan,204,1796,Back,Füme,Dealer
Mardin,Midyat,435675,Audi,A8,3.0 TDI Quattro Long,2012,Dizel,Yarı Otomatik,80000,Sedan,251,2501,4WD,Siyah,Dealer
Mardin,Midyat,431300,Audi,A8,3.0 TDI Quattro Long,2012,Dizel,Yarı Otomatik,87000,Sedan,251,2501,4WD,Siyah,Dealer
İzmir,Konak,205000,Mercedes - Benz,S,S 350 350 L,2006,Benzin,Otomatik,175000,Sedan,251,3001,Back,Siyah,Owner
İstanbul,Bahçelievler,42500,Mercedes - Benz,200,200,1970,Benzin & LPG,Manuel,97700,Sedan,126,1801,Back,Beyaz,Owner
Denizli,Pamukkale,102000,BMW,5 Serisi,520d Premium,2009,Dizel,Otomatik,168000,Sedan,126,1801,Back,Siyah,Dealer
Kayseri,Melikgazi,148000,BMW,5 Serisi,520d Comfort,2010,Dizel,Otomatik,129000,Sedan,176,1801,Back,Lacivert,Owner
İstanbul,Kadıköy,185000,Mercedes - Benz,E,E 250 CDI Prime,2009,Dizel,Yarı Otomatik,90000,Sedan,201,2001,Back,Bej,Dealer
İzmir,Gaziemir,35000,Toyota,Corolla,1.4 Terra,2006,Dizel,Manuel,230000,Sedan,76,1201,Forward,Gri,Dealer
İzmir,Gaziemir,35000,Toyota,Corolla,1.4 Terra,2006,Dizel,Manuel,230000,Sedan,76,1201,Forward,Gri,Dealer
İzmir,Konak,295100,Mercedes - Benz,SL,55 AMG,2003,Benzin,Otomatik,133000,Cabrio,476,4501,Back,Gümüş Gri,Dealer
İstanbul,Sarıyer,859575,Bentley,Continental,Flying Spur,2008,Benzin,Yarı Otomatik,19000,Sedan,560,5998,4WD,Beyaz,Dealer
Trabzon,Sürmene,32500,Opel,Astra,1.6 Elegance Twinport,2004,Benzin & LPG,Manuel,223000,Hatchback 5 kapı,101,1401,Forward,Lacivert,Owner
İstanbul,Bağcılar,79950,Audi,A4,A4 Sedan 2.0 TDI,2011,Dizel,Yarı Otomatik,119500,Sedan,143,1968,Forward,Siyah,Dealer
İstanbul,Sarıyer,1339300,Mercedes - Benz,S,S 63 AMG,2014,Benzin,Yarı Otomatik,23500,Sedan,585,5461,4WD,Siyah,Dealer
İstanbul,Sarıyer,1339300,Mercedes - Benz,S,S 63 AMG,2014,Benzin,Yarı Otomatik,23500,Sedan,585,5461,4WD,Siyah,Dealer
İstanbul,Sarıyer,1118625,Porsche,911,Carrera 4S,2013,Benzin,Otomatik,21000,Coupe,376,3501,4WD,Siyah,Dealer
İstanbul,Sarıyer,1078250,Porsche,911,Carrera 4S,2013,Benzin,Otomatik,21000,Coupe,376,3501,4WD,Siyah,Dealer
Adana,Çukurova,77000,BMW,3 Serisi,316i Premium,2011,Benzin & LPG,Yarı Otomatik,89000,Sedan,126,1401,Back,Beyaz,Owner
İzmir,Foça,95000,Chevrolet,Caprice,5.0 LS,1989,Benzin & LPG,Otomatik,59000,Sedan,201,5001,Back,Kahverengi,Owner
İstanbul,Sarıyer,99880,Mercedes - Benz,E,E 320 Elegance,2003,Benzin,Yarı Otomatik,110000,Sedan,224,3199,Back,Bej,Owner
İstanbul,Kadıköy,38250,Mazda,6,2.0,2004,Benzin & LPG,Manuel,253000,Sedan,126,1801,Forward,Şampanya,Owner
İstanbul,Kağıthane,25250,Fiat,Linea,1.3 Multijet Active Plus,2011,Dizel,Manuel,185000,Sedan,76,1401,Forward,Beyaz,Dealer
Sakarya,Erenler,19000,Tofaş,Murat,124,1974,Benzin,Manuel,46000,Sedan,65,1239,Back,Mavi,Dealer
Muğla,Milas,72500,Mini,Cooper S,1.6 Coupe,2010,Benzin,Otomatik,110000,Sedan,126,1601,Forward,Beyaz,Owner
Muğla,Milas,72500,Mini,Cooper S,1.6 Coupe,2010,Benzin,Otomatik,110000,Sedan,126,1601,Forward,Beyaz,Owner
Ankara,Akyurt,261000,Mercedes - Benz,S,S 320 320 CDI L,2010,Dizel,Otomatik,195000,Sedan,251,3001,4WD,Siyah,Dealer
Ankara,Akyurt,261000,Mercedes - Benz,S,S 320 320 CDI L,2010,Dizel,Otomatik,195000,Sedan,251,3001,4WD,Siyah,Dealer
İzmir,Konak,588750,Mercedes - Benz,SL,300,2010,Benzin,Otomatik,45842,Cabrio,231,2996,Back,Beyaz,Dealer
İzmir,Konak,567500,Mercedes - Benz,SL,300,2010,Benzin,Otomatik,45842,Cabrio,231,2996,Back,Beyaz,Dealer
İstanbul,Kadıköy,78000,Subaru,Impreza,2.0 WRX STi,2004,Benzin,Manuel,102000,Sedan,326,1801,4WD,Mavi,Owner
İstanbul,Beşiktaş,390000,Maserati,GranTurismo,4.7 S,2012,Benzin,Otomatik,71373,Coupe,440,4691,Back,Siyah,Dealer
İstanbul,Kadıköy,65000,BMW,1 Serisi,116i Premium,2010,Benzin,Otomatik,114000,Hatchback 5 kapı,101,1401,Forward,Beyaz,Owner
İstanbul,Beşiktaş,399520,Mercedes - Benz,SL,280,2009,Benzin,Yarı Otomatik,50416,Cabrio,231,2996,Back,Beyaz,Dealer
Konya,Selçuklu,29000,Seat,Toledo,1.9 TDI Signo,2003,Dizel,Manuel,5000,Sedan,110,1896,Forward,Siyah,Dealer
İstanbul,Fatih,88000,Chevrolet,Camaro,Z28,1998,Benzin,Otomatik,80000,Coupe,288,5666,Back,Kırmızı,Dealer
Denizli,Pamukkale,57750,Ford,Focus,1.6 TDCi Trend X,2014,Dizel,Manuel,132000,Sedan,76,1401,Forward,Beyaz,Dealer
Yozgat,Sorgun,85000,Mercedes - Benz,E,E 270 CDI Avantgarde,2004,Dizel,Otomatik,278000,Sedan,176,2501,Back,Siyah,Dealer
Bursa,İnegöl,22000,Mercedes - Benz,A,A 160 Elegance,1999,Benzin & LPG,Manuel,200000,Hatchback 5 kapı,102,1598,Forward,Mor,Dealer
Adana,Seyhan,36500,Hyundai,i20,1.4 CRDi Jump,2014,Dizel,Manuel,108000,Hatchback 5 kapı,90,1396,Forward,Gri,Dealer
İstanbul,Gaziosmanpaşa,24750,Renault,Megane,1.6 RXT,2001,Benzin & LPG,Manuel,153000,Sedan,101,1401,Forward,Gümüş Gri,Owner
İstanbul,Küçükçekmece,139000,BMW,3 Serisi,320i ED EfficientDynamics,2014,Benzin,Otomatik,48000,Sedan,151,1401,Back,Beyaz,Owner
İstanbul,Kağıthane,125000,Volvo,V60,1.6 T4 T4,2012,Benzin,Otomatik,9400,Station Wagon,176,1401,Forward,Beyaz,Dealer
İstanbul,Kağıthane,125000,Volvo,V60,1.6 T4 T4,2012,Benzin,Otomatik,9400,Station Wagon,176,1401,Forward,Beyaz,Dealer
İstanbul,Beşiktaş,372090,Porsche,911,Carrera 2,2006,Benzin,Otomatik,61231,Coupe,325,3596,Back,Siyah,Dealer
İstanbul,Beşiktaş,358660,Porsche,911,Carrera 2,2006,Benzin,Otomatik,61231,Coupe,325,3596,Back,Siyah,Dealer
İstanbul,Beşiktaş,358660,Porsche,911,Carrera 2,2006,Benzin,Otomatik,61231,Coupe,325,3596,Back,Siyah,Dealer
İstanbul,Avcılar,50000,Audi,A3,A3 Sportback 1.4 TFSI 1.4 TFSI,2008,Benzin,Yarı Otomatik,147000,Hatchback 5 kapı,125,1390,Forward,Gümüş Gri,Dealer
İstanbul,Avcılar,50000,Audi,A3,A3 Sportback 1.4 TFSI 1.4 TFSI,2008,Benzin,Yarı Otomatik,147000,Hatchback 5 kapı,125,1390,Forward,Gümüş Gri,Dealer
İstanbul,Avcılar,110000,BMW,3 Serisi,320d Premium,2010,Dizel,Otomatik,112000,Sedan,177,1995,Back,Beyaz,Dealer
İstanbul,Küçükçekmece,99000,Mazda,RX,RX-8,2011,Benzin,Manuel,46000,Coupe,226,1201,Back,Beyaz,Owner
İstanbul,Küçükçekmece,97000,Mazda,RX,RX-8,2011,Benzin,Manuel,46000,Coupe,226,1201,Back,Beyaz,Owner
İstanbul,Bakırköy,75000,Volkswagen,Scirocco,1.4 TSi Sportline,2014,Benzin,Manuel,11400,Coupe,122,1390,Forward,Beyaz,Owner
İzmir,Gaziemir,133000,BMW,3 Serisi,320d Sport,2012,Dizel,Yarı Otomatik,113000,Sedan,184,1995,Back,Beyaz,Dealer
İstanbul,Kağıthane,471000,Ferrari,360,Modena F1,2004,Benzin,Otomatik,19500,Coupe,376,3501,Back,Siyah,Dealer
İstanbul,Kağıthane,70000,Mercedes - Benz,E,E 200 200,1994,Benzin,Otomatik,115270,Sedan,126,1801,Back,Mor,Dealer
İstanbul,Kağıthane,77500,Mercedes - Benz,300,300 SE,1990,Benzin,Otomatik,183500,Sedan,176,2501,Back,Bej,Dealer
İstanbul,Kağıthane,75000,Mercedes - Benz,E,E 320 Elegance,1999,Benzin,Otomatik,182000,Sedan,201,3001,4WD,Siyah,Dealer
İstanbul,Kağıthane,85000,Mercedes - Benz,C,C 220 CDI Elegance,2002,Dizel,Otomatik,113000,Sedan,126,2001,Back,Siyah,Dealer
İstanbul,Pendik,148700,Audi,A4,A4 Sedan 2.0 TDI,2014,Dizel,Yarı Otomatik,48500,Sedan,126,1801,Forward,Beyaz,Owner
İzmir,Konak,85000,Jaguar,S-Type,2.7 D Executive,2006,Dizel,Otomatik,80000,Sedan,201,2501,Back,Gri,Dealer
İzmir,Konak,85000,Jaguar,S-Type,2.7 D Executive,2006,Dizel,Otomatik,80000,Sedan,201,2501,Back,Gri,Dealer
Adana,Çukurova,118500,BMW,3 Serisi,328i,2012,Benzin,Yarı Otomatik,130000,Sedan,226,1801,Back,Kahverengi,Owner
İzmir,Konak,165000,Audi,A4,A4 Sedan 2.0 TDI Quattro,2013,Dizel,Otomatik,49000,Sedan,151,1801,4WD,Beyaz,Dealer
İstanbul,Beşiktaş,1266990,Bentley,Continental,GT Supersports,2013,Benzin,Otomatik,24000,Coupe,630,5998,4WD,Siyah,Dealer
Adana,Seyhan,18500,Peugeot,206,2.0 GTI,2002,Benzin,Manuel,200000,Hatchback 3 kapı,135,1997,Forward,Mavi,Dealer
Adana,Seyhan,18500,Peugeot,206,2.0 GTI,2002,Benzin,Manuel,200000,Hatchback 3 kapı,135,1997,Forward,Mavi,Dealer
İstanbul,Bağcılar,555780,Porsche,911,Turbo,2007,Benzin,Otomatik,67000,Coupe,480,3600,4WD,Mavi,Dealer
İstanbul,Bağcılar,535720,Porsche,911,Turbo,2007,Benzin,Otomatik,67000,Coupe,480,3600,4WD,Mavi,Dealer
İstanbul,Bağcılar,535720,Porsche,911,Turbo,2007,Benzin,Otomatik,67000,Coupe,480,3600,4WD,Mavi,Dealer
Ankara,Çankaya,26450,Chrysler,300 M,3.5,1999,Benzin & LPG,Yarı Otomatik,167613,Sedan,252,3518,Forward,Bordo,Dealer
Denizli,Pamukkale,105750,Volvo,S60,1.6 D Premium,2014,Dizel,Otomatik,82000,Sedan,101,1401,Forward,Siyah,Dealer
İstanbul,Beşiktaş,409770,Jaguar,XK8,4.2,2008,Benzin,Otomatik,40350,Cabrio,276,4001,Back,Siyah,Dealer
İstanbul,Beşiktaş,394980,Jaguar,XK8,4.2,2008,Benzin,Otomatik,40350,Cabrio,276,4001,Back,Siyah,Dealer
Samsun,İlkadım,32500,Chevrolet,Lacetti,1.6 WTCC,2009,Benzin & LPG,Manuel,159000,Hatchback 5 kapı,101,1401,Forward,Kırmızı,Dealer
İstanbul,Sarıyer,105000,Subaru,Impreza,2.0 WRX STi,2003,Benzin,Manuel,123000,Sedan,265,1994,4WD,Mavi,Dealer
İstanbul,Sarıyer,135000,Subaru,Impreza,2.0 WRX STi,2003,Benzin,Manuel,123000,Sedan,265,1994,4WD,Mavi,Dealer
İstanbul,Bakırköy,494550,Porsche,911,Carrera 4S,2013,Benzin,Otomatik,16000,Cabrio,376,3501,4WD,Beyaz,Dealer
İstanbul,Bakırköy,476700,Porsche,911,Carrera 4S,2013,Benzin,Otomatik,16000,Cabrio,376,3501,4WD,Beyaz,Dealer
Nevşehir,Merkez,120000,Volkswagen,Passat,2.0 TDi BlueMotion Comfortline,2012,Dizel,Otomatik,35000,Sedan,126,1801,Forward,Füme,Dealer
İstanbul,Bağcılar,175000,Audi,A6,A6 Sedan 2.0 TDI,2012,Dizel,Yarı Otomatik,121000,Sedan,176,1801,Forward,Siyah,Dealer
